nickname,count,every,age
Rusalka,5,4969,v4
Mireček,5,835,v5
Óňa,5,2485,v4
Mirek,5,1057,v7
Oslík,5,7182,v3
Modrásek,5,4969,v4
Panter,5,4969,v4
Modroočko,5,6502,v2
Paťa,5,1796,v3
Modřinka,5,1669,v5
Pepan,5,1656,v4
Monkey,5,6502,v2
Perníček,5,8669,v2
Motejl,5,1128,v6
Pípa,5,1669,v5
Mraveneček,5,3591,v3
Piraňa,5,6502,v2
Mrkvička,5,6502,v2
Příšerka,5,5201,v2
Mumínek,5,6502,v2
Pytlík,5,1669,v5
Můra,5,3591,v3
Rejsek,5,2485,v4
Madam,5,1128,v6
Robot,5,8669,v2
Napoleon,5,2485,v4
Ron,5,1669,v5
Neználek,5,4969,v4
Rumcajs,5,704,v7
Ocásek,5,1669,v5
Růžovka,5,2113,v7
Okurka,5,4969,v4
Otesánek,5,6502,v2
Koza,5,1128,v6
Kolibřík,5,3591,v3
Lego,5,8669,v2
Jantar,5,3591,v3
Kostička,5,1128,v6
Jarka,5,1057,v7
Chechta,5,7182,v3
Ječmen,5,6502,v2
Iva,5,1128,v6
Jeňa,5,2485,v4
Humr,5,3591,v3
Hasky,5,1669,v5
Koudy,5,2485,v4
Hašlerka,5,1669,v5
Kraken,5,1669,v5
Jogurt,5,4969,v4
Chobotnička,5,4364,v1
Hermiona,5,6502,v2
Lísteček,5,8669,v2
Julča,5,8669,v2
Kokos,5,6502,v2
Káďa,5,2113,v7
Kolombo,5,6502,v2
Kafka,5,835,v5
Haf,5,7182,v3
Kali,5,1128,v6
Kouba,5,3591,v3
Kašpárek,5,7182,v3
Koumes,5,1656,v4
Kenny,5,4969,v4
Kozlík,5,6502,v2
Kiri,5,2394,v3
Krocan,5,6502,v2
Kity,5,1128,v6
Kudla,5,6502,v2
Ginny,5,3591,v3
Kyblík,5,3591,v3
Klouzek,5,7182,v3
Linda,5,2113,v7
Knoflík,5,6502,v2
Lístek,5,1669,v5
Koblih,5,4969,v4
Lucky,5,1656,v4
Luk,5,4969,v4
Kohout,5,3591,v3
Bambulka,5,6502,v2
Bříza,5,2113,v7
Fredy,5,3591,v3
Daisy,5,2485,v4
Berča,5,2485,v4
Aťka,5,704,v7
Fous,5,704,v7
Andílek,5,4969,v4
Cvak,5,4969,v4
Ampér,5,564,v6
Agnes,5,3591,v3
Danny,5,1669,v5
Eva,5,2113,v7
Dáreček,5,4969,v4
Fidorka,5,3591,v3
Budík,5,1669,v5
Pátek,5,2485,v4
Bíba,5,1669,v5
Čvachta,5,1669,v5
Bylinka,5,1128,v6
Bonbón,5,7182,v3
Dick,5,835,v5
Elda,5,2113,v7
Dingo,5,1128,v6
Červíček,5,5201,v2
Bzuk,5,4969,v4
Éro,5,7182,v3
Carlos,5,3591,v3
Fantomas,5,7182,v3
Bodlák,5,2485,v4
Alf,5,3591,v3
Bomba,5,4969,v4
Čiky,5,2485,v4
Domino,5,3591,v3
Brusinka,5,4969,v4
Don,5,3591,v3
Fred,5,835,v5
Copík,5,6502,v2
Ami,5,3591,v3
Cukr,5,4969,v4
Bonbon,5,2113,v7
Čára,5,1669,v5
Slimák,4,1669,v5
Vánek,4,4969,v4
Twist,4,7182,v3
Sádra,4,4969,v4
voják,4,7182,v3
Slunko,4,1669,v5
Sloník,4,7182,v3
Smrček,4,3591,v3
Ušák,4,7182,v3
Siki,4,1656,v4
Viktor,4,1669,v5
Siky,4,2485,v4
Vydrýsek,4,8727,v1
Silver,4,2113,v7
Zombík,4,8727,v1
Sporťák,4,2394,v3
Skřet,4,1656,v4
Sajmon,4,4969,v4
Úhoř,4,1669,v5
Straka,4,3591,v3
Valča,4,4969,v4
suk,4,1669,v5
Vasil,4,2113,v7
Sally,4,835,v5
Vlčice,4,8669,v2
Sváča,4,2485,v4
Vokoun,4,1128,v6
Svišťa,4,1128,v6
Will,4,6502,v2
Sýček,4,4969,v4
Zálesák,4,2113,v7
Syky,4,7182,v3
Zuzu,4,8669,v2
Šárka,4,1669,v5
Trhač,4,3591,v3
Šašek,4,4969,v4
Tukan,4,1669,v5
Šátek,4,7182,v3
Tyčka,4,1656,v4
Šéf,4,2113,v7
Uran,4,7182,v3
Šimpanz,4,6502,v2
Václav,4,2485,v4
Šípek,4,2485,v4
Váňa,4,2485,v4
Šklíba,4,8669,v2
Varan,4,8669,v2
Špejle,4,4969,v4
Ségra,4,7182,v3
Špuntík,4,4969,v4
Vivi,4,4969,v4
Sára,4,7182,v3
Vodnice,4,3591,v3
Řezník,4,6502,v2
Vojín,4,7182,v3
Teniska,4,7182,v3
Vrtulka,4,4969,v4
Satan,4,4969,v4
Wabi,4,1057,v7
Žirafka,4,7182,v3
Slim,4,1057,v7
Slunce,4,2485,v4
Zajíček,4,4969,v4
Tommy,4,3591,v3
Seržant,4,2113,v7
Topinka,4,7182,v3
Severka,4,1128,v6
Tori,4,6502,v2
Zvonilka,4,8669,v2
Tornádo,4,4969,v4
Žeryk,4,2394,v3
Treska,4,3591,v3
Žižka,4,7182,v3
Rejža,4,2394,v3
Pítrs,4,1128,v6
Pepe,4,2394,v3
Matylda,4,4969,v4
Pů,4,1669,v5
Matýsek,4,4969,v4
Marťas,4,3591,v3
Mazel,4,4969,v4
Piko,4,3591,v3
Medvídě,4,1669,v5
Potkan,4,4969,v4
Merlin,4,4969,v4
Malíček,4,8669,v2
Meruňka,4,3591,v3
Ořech,4,4969,v4
Mikro,4,7182,v3
Pavlík,4,2485,v4
Mini,4,4969,v4
Marvin,4,4969,v4
